,sno,date of event,country,loc_list,loc_list_a,reported region/places,row_idx,report type
33,234,20241003,South Sudan, Upper Nile,Abyei),"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_33,National Disaster Declaration
33,234,20241003,South Sudan, Unity,Abyei),"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_33,National Disaster Declaration
33,234,20241003,South Sudan, Warrap,Abyei),"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_33,National Disaster Declaration
33,234,20241003,South Sudan, Northern Bahr El Ghazal,Abyei),"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_33,National Disaster Declaration
33,234,20241003,South Sudan, Abyei),Abyei),"Nationwide (Jonglei, Upper Nile, Unity, Warrap, Northern Bahr El Ghazal, Abyei)",fl_33,National Disaster Declaration
34,236,20240919,Ethiopia,Addis Ababa,Addis Ababa,"Addis Ababa, rural areas of Ethiopia",fl_34,Flood Warning Testing
34,236,20240919,Ethiopia, rural areas of Ethiopia,Addis Ababa,"Addis Ababa, rural areas of Ethiopia",fl_34,Flood Warning Testing
35,236,20240919,Ethiopia,Addis Ababa,rural areas of Ethiopia,"Addis Ababa, rural areas of Ethiopia",fl_35,Flood Warning Testing
35,236,20240919,Ethiopia, rural areas of Ethiopia,rural areas of Ethiopia,"Addis Ababa, rural areas of Ethiopia",fl_35,Flood Warning Testing
36,257,20240812,Ethiopia,Gambella Region (4 districts),Gambella Region (4 districts),Gambella Region (4 districts),fl_36,Flooding in Western Ethiopia
37,258,20240908,Kenya,Kajiado,Kajiado,"Kajiado, Laikipia",fl_37,Drought affecting Maasai and other cattle herders
37,258,20240908,Kenya, Laikipia,Kajiado,"Kajiado, Laikipia",fl_37,Drought affecting Maasai and other cattle herders
38,258,20240908,Kenya,Kajiado,Laikipia,"Kajiado, Laikipia",fl_38,Drought affecting Maasai and other cattle herders
38,258,20240908,Kenya, Laikipia,Laikipia,"Kajiado, Laikipia",fl_38,Drought affecting Maasai and other cattle herders
39,259,20240907,Kenya,Kilifi (Mariakani Ward),Kilifi (Mariakani Ward),Kilifi (Mariakani Ward),fl_39,Drought affecting farmers in Kilifi
40,262,202409,South Sudan,Lakes State,Lakes State,"Lakes State, Unity State, Sudd region",fl_40,Floods causing mass population displacement
40,262,202409,South Sudan, Unity State,Lakes State,"Lakes State, Unity State, Sudd region",fl_40,Floods causing mass population displacement
40,262,202409,South Sudan, Sudd region,Lakes State,"Lakes State, Unity State, Sudd region",fl_40,Floods causing mass population displacement
41,262,202409,South Sudan,Lakes State,Unity State,"Lakes State, Unity State, Sudd region",fl_41,Floods causing mass population displacement
41,262,202409,South Sudan, Unity State,Unity State,"Lakes State, Unity State, Sudd region",fl_41,Floods causing mass population displacement
41,262,202409,South Sudan, Sudd region,Unity State,"Lakes State, Unity State, Sudd region",fl_41,Floods causing mass population displacement
42,262,202409,South Sudan,Lakes State,Sudd region,"Lakes State, Unity State, Sudd region",fl_42,Floods causing mass population displacement
42,262,202409,South Sudan, Unity State,Sudd region,"Lakes State, Unity State, Sudd region",fl_42,Floods causing mass population displacement
42,262,202409,South Sudan, Sudd region,Sudd region,"Lakes State, Unity State, Sudd region",fl_42,Floods causing mass population displacement
